case_id,source_index,service,fault_type,level,start_ms,end_ms,duration_seconds,current_main_interval_valid,audit_cpu_repair_applied
gaia-26ee2cd2c83c7a91,0,dbservice1,memory_anomalies,WARNING,1625111066882,1625111666882,600.0,True,False
gaia-50f1300a884d7eb7,2,dbservice1,memory_anomalies,WARNING,1625149384230,1625149984230,600.0,True,False
gaia-afa6cfecb1c7d385,3,dbservice2,memory_anomalies,WARNING,1625114695798,1625115295798,600.0,True,False
gaia-f14998642c030354,4,dbservice2,memory_anomalies,WARNING,1625122822680,1625123422680,600.0,True,False
gaia-fd5b902aaf6e7dc3,5,webservice2,memory_anomalies,WARNING,1625108812249,1625109412249,600.0,True,False
gaia-227b52a3b82d6809,6,webservice2,memory_anomalies,WARNING,1625125130211,1625125730211,600.0,True,False
gaia-f0dccbfcbfff9231,7,redisservice1,memory_anomalies,WARNING,1625116122446,1625116722446,600.0,True,False
gaia-f1a02e7f2a6a1faa,8,redisservice1,memory_anomalies,WARNING,1625127878443,1625128478443,600.0,True,False
gaia-3917edcbd8117878,9,redisservice1,memory_anomalies,WARNING,1625145502477,1625146102477,600.0,True,False
gaia-4e999965d0ea7c02,10,redisservice2,memory_anomalies,WARNING,1625125635262,1625126235262,600.0,True,False
gaia-0445eae97985303e,11,redisservice2,memory_anomalies,WARNING,1625136300236,1625136900236,600.0,True,False
gaia-4e5b9712de64f031,12,redisservice2,memory_anomalies,WARNING,1625145610284,1625146210284,600.0,True,False
gaia-abe8bf1ce126295b,13,redisservice2,memory_anomalies,WARNING,1625149801256,1625150401256,600.0,True,False
gaia-c6993c0b3d7cbe6f,14,mobservice1,login failure,WARNING,1625123023991,1625123034991,11.0,True,False
gaia-5db00fa6d8dd4ccf,15,mobservice1,login failure,WARNING,1625123497103,1625123508103,11.0,True,False
gaia-001304b1acd73e84,16,mobservice1,login failure,WARNING,1625123711830,1625123722830,11.0,True,False
gaia-8c4c968375b1758b,17,mobservice1,login failure,WARNING,1625124146966,1625124157966,11.0,True,False
gaia-dbd59c694e0f47e0,18,mobservice1,login failure,WARNING,1625124426145,1625124437145,11.0,True,False
gaia-4c0af507a087b8e9,19,mobservice1,login failure,WARNING,1625124766990,1625124777990,11.0,True,False
gaia-90c1669f37da9310,20,mobservice1,login failure,WARNING,1625124942392,1625124953392,11.0,True,False
gaia-c708d227b33ec2cb,21,mobservice1,login failure,WARNING,1625125364586,1625125375586,11.0,True,False
gaia-b50265c1d08611a0,22,mobservice1,login failure,WARNING,1625125561313,1625125572313,11.0,True,False
gaia-cce7dabf4d14b3c4,23,mobservice1,login failure,WARNING,1625125701803,1625125712803,11.0,True,False
gaia-c50bb6ed65f82855,24,mobservice1,login failure,WARNING,1625125941901,1625125952901,11.0,True,False
gaia-e71241238a7a0a17,25,mobservice1,login failure,WARNING,1625126048437,1625126059437,11.0,True,False
gaia-3c92b8db925b36e1,26,mobservice1,login failure,WARNING,1625126412625,1625126423625,11.0,True,False
gaia-71aa8fb485a40bf8,27,mobservice1,login failure,WARNING,1625126531197,1625126542197,11.0,True,False
gaia-58c020dba4c3422f,28,mobservice1,login failure,WARNING,1625127168775,1625127179775,11.0,True,False
gaia-9f28a1a815d0aaff,29,mobservice1,login failure,WARNING,1625128009857,1625128020857,11.0,True,False
gaia-62c7bb758a96bb39,30,mobservice1,login failure,WARNING,1625128070550,1625128081550,11.0,True,False
gaia-10a37170f75b56bb,31,mobservice1,login failure,WARNING,1625128360001,1625128371001,11.0,True,False
gaia-6f5422fc1f18bcc0,32,mobservice1,login failure,WARNING,1625128697785,1625128708785,11.0,True,False
gaia-37fcb6e00619c976,33,mobservice1,login failure,WARNING,1625129032026,1625129043026,11.0,True,False
gaia-2253864d8399a02a,34,mobservice1,login failure,WARNING,1625129059542,1625129070542,11.0,True,False
gaia-86bf19fba9a779f7,35,mobservice1,login failure,WARNING,1625129843786,1625129854786,11.0,True,False
gaia-d4d647689aac4e52,36,mobservice1,login failure,WARNING,1625129920977,1625129931977,11.0,True,False
gaia-15465b6c72b7dad1,37,mobservice1,login failure,WARNING,1625130208777,1625130219777,11.0,True,False
gaia-6f26fdd9949cba00,38,mobservice1,login failure,WARNING,1625130247086,1625130258086,11.0,True,False
