case_id,source_index,service,fault_type,level,start_ms,end_ms,duration_seconds,current_main_interval_valid,audit_cpu_repair_applied,split,context_start_ms,context_end_ms
gaia-fd5b902aaf6e7dc3,5,webservice2,memory_anomalies,WARNING,1625108812249,1625109412249,600.0,True,False,train,1625108512249,1625109412249
gaia-26ee2cd2c83c7a91,0,dbservice1,memory_anomalies,WARNING,1625111066882,1625111666882,600.0,True,False,train,1625110766882,1625111666882
gaia-afa6cfecb1c7d385,3,dbservice2,memory_anomalies,WARNING,1625114695798,1625115295798,600.0,True,False,train,1625114395798,1625115295798
gaia-f0dccbfcbfff9231,7,redisservice1,memory_anomalies,WARNING,1625116122446,1625116722446,600.0,True,False,train,1625115822446,1625116722446
gaia-f14998642c030354,4,dbservice2,memory_anomalies,WARNING,1625122822680,1625123422680,600.0,True,False,train,1625122522680,1625123422680
gaia-c6993c0b3d7cbe6f,14,mobservice1,login failure,WARNING,1625123023991,1625123034991,11.0,True,False,train,1625122723991,1625123323991
gaia-04d82c220c928769,113,mobservice2,login failure,WARNING,1625123305556,1625123316556,11.0,True,False,train,1625123005556,1625123605556
gaia-5db00fa6d8dd4ccf,15,mobservice1,login failure,WARNING,1625123497103,1625123508103,11.0,True,False,train,1625123197103,1625123797103
gaia-001304b1acd73e84,16,mobservice1,login failure,WARNING,1625123711830,1625123722830,11.0,True,False,train,1625123411830,1625124011830
gaia-ea012807519c9390,114,mobservice2,login failure,WARNING,1625123771833,1625123782833,11.0,True,False,train,1625123471833,1625124071833
gaia-13079ee5291a61bb,115,mobservice2,login failure,WARNING,1625124065900,1625124076900,11.0,True,False,train,1625123765900,1625124365900
gaia-3dc2618174ef4b26,116,mobservice2,login failure,WARNING,1625124096455,1625124107455,11.0,True,False,train,1625123796455,1625124396455
gaia-8c4c968375b1758b,17,mobservice1,login failure,WARNING,1625124146966,1625124157966,11.0,True,False,train,1625123846966,1625124446966
gaia-84f61fd83f5b1d11,117,mobservice2,login failure,WARNING,1625124241962,1625124252962,11.0,True,False,train,1625123941962,1625124541962
gaia-3200d2793117273e,118,mobservice2,login failure,WARNING,1625124358528,1625124369528,11.0,True,False,train,1625124058528,1625124658528
gaia-dbd59c694e0f47e0,18,mobservice1,login failure,WARNING,1625124426145,1625124437145,11.0,True,False,train,1625124126145,1625124726145
gaia-0f4489abf90c81df,119,mobservice2,login failure,WARNING,1625124602148,1625124613148,11.0,True,False,train,1625124302148,1625124902148
gaia-7c8cec64e53738d7,120,mobservice2,login failure,WARNING,1625124662232,1625124673232,11.0,True,False,train,1625124362232,1625124962232
gaia-4c0af507a087b8e9,19,mobservice1,login failure,WARNING,1625124766990,1625124777990,11.0,True,False,train,1625124466990,1625125066990
gaia-90c1669f37da9310,20,mobservice1,login failure,WARNING,1625124942392,1625124953392,11.0,True,False,train,1625124642392,1625125242392
gaia-72f6159c1be6c249,121,mobservice2,login failure,WARNING,1625124988652,1625124999652,11.0,True,False,train,1625124688652,1625125288652
gaia-227b52a3b82d6809,6,webservice2,memory_anomalies,WARNING,1625125130211,1625125730211,600.0,True,False,train,1625124830211,1625125730211
gaia-66c8294899336d26,122,mobservice2,login failure,WARNING,1625125277307,1625125288307,11.0,True,False,train,1625124977307,1625125577307
gaia-c708d227b33ec2cb,21,mobservice1,login failure,WARNING,1625125364586,1625125375586,11.0,True,False,train,1625125064586,1625125664586
gaia-b50265c1d08611a0,22,mobservice1,login failure,WARNING,1625125561313,1625125572313,11.0,True,False,train,1625125261313,1625125861313
gaia-4e999965d0ea7c02,10,redisservice2,memory_anomalies,WARNING,1625125635262,1625126235262,600.0,True,False,train,1625125335262,1625126235262
gaia-cce7dabf4d14b3c4,23,mobservice1,login failure,WARNING,1625125701803,1625125712803,11.0,True,False,train,1625125401803,1625126001803
gaia-c50bb6ed65f82855,24,mobservice1,login failure,WARNING,1625125941901,1625125952901,11.0,True,False,train,1625125641901,1625126241901
gaia-e71241238a7a0a17,25,mobservice1,login failure,WARNING,1625126048437,1625126059437,11.0,True,False,train,1625125748437,1625126348437
gaia-3c92b8db925b36e1,26,mobservice1,login failure,WARNING,1625126412625,1625126423625,11.0,True,False,train,1625126112625,1625126712625
gaia-f00880209b05cef7,123,mobservice2,login failure,WARNING,1625126487583,1625126498583,11.0,True,False,train,1625126187583,1625126787583
gaia-71aa8fb485a40bf8,27,mobservice1,login failure,WARNING,1625126531197,1625126542197,11.0,True,False,train,1625126231197,1625126831197
gaia-3e21e77626b1f341,124,mobservice2,login failure,WARNING,1625126531375,1625126542375,11.0,True,False,train,1625126231375,1625126831375
gaia-58c020dba4c3422f,28,mobservice1,login failure,WARNING,1625127168775,1625127179775,11.0,True,False,train,1625126868775,1625127468775
gaia-1157385b94467398,125,mobservice2,login failure,WARNING,1625127664287,1625127675287,11.0,True,False,train,1625127364287,1625127964287
gaia-f1a02e7f2a6a1faa,8,redisservice1,memory_anomalies,WARNING,1625127878443,1625128478443,600.0,True,False,train,1625127578443,1625128478443
gaia-9f28a1a815d0aaff,29,mobservice1,login failure,WARNING,1625128009857,1625128020857,11.0,True,False,train,1625127709857,1625128309857
gaia-62c7bb758a96bb39,30,mobservice1,login failure,WARNING,1625128070550,1625128081550,11.0,True,False,train,1625127770550,1625128370550
gaia-10a37170f75b56bb,31,mobservice1,login failure,WARNING,1625128360001,1625128371001,11.0,True,False,train,1625128060001,1625128660001
gaia-e9d86434cbb76d13,126,mobservice2,login failure,WARNING,1625128427422,1625128438422,11.0,True,False,train,1625128127422,1625128727422
gaia-782294ed2d73849c,128,mobservice2,memory_anomalies,WARNING,1625128516396,1625129116396,600.0,True,False,train,1625128216396,1625129116396
gaia-ffc4d0e8707f04c2,127,mobservice2,login failure,WARNING,1625128629671,1625128640671,11.0,True,False,train,1625128329671,1625128929671
gaia-6f5422fc1f18bcc0,32,mobservice1,login failure,WARNING,1625128697785,1625128708785,11.0,True,False,train,1625128397785,1625128997785
gaia-37fcb6e00619c976,33,mobservice1,login failure,WARNING,1625129032026,1625129043026,11.0,True,False,train,1625128732026,1625129332026
gaia-2253864d8399a02a,34,mobservice1,login failure,WARNING,1625129059542,1625129070542,11.0,True,False,train,1625128759542,1625129359542
