case_id,source_index,fault_type,labelled_service,service,level,start_ms,end_ms,duration_seconds,taxonomy_version,detector_domain,split,purge_reason
gaia-v3-00153,153,login_failure,mobservice2,mobservice2,WARNING,1625133775938,1625133786938,11.0,gaia-v3-20260913,True,train,
gaia-v3-00050,50,login_failure,mobservice1,mobservice1,WARNING,1625133846510,1625133857510,11.0,gaia-v3-20260913,True,train,
gaia-v3-00051,51,login_failure,mobservice1,mobservice1,WARNING,1625133878355,1625133889355,11.0,gaia-v3-20260913,True,train,
gaia-v3-00052,52,login_failure,mobservice1,mobservice1,WARNING,1625133957074,1625133968074,11.0,gaia-v3-20260913,True,train,
gaia-v3-00053,53,login_failure,mobservice1,mobservice1,WARNING,1625133983922,1625133994922,11.0,gaia-v3-20260913,True,train,
gaia-v3-00054,54,login_failure,mobservice1,mobservice1,WARNING,1625134101145,1625134112145,11.0,gaia-v3-20260913,True,train,
gaia-v3-00154,154,login_failure,mobservice2,mobservice2,WARNING,1625134129229,1625134140229,11.0,gaia-v3-20260913,True,train,
gaia-v3-00055,55,login_failure,mobservice1,mobservice1,WARNING,1625134313366,1625134324366,11.0,gaia-v3-20260913,True,train,
gaia-v3-00155,155,login_failure,mobservice2,mobservice2,WARNING,1625134407668,1625134418668,11.0,gaia-v3-20260913,True,train,
gaia-v3-00056,56,login_failure,mobservice1,mobservice1,WARNING,1625134424819,1625134435819,11.0,gaia-v3-20260913,True,train,
gaia-v3-00156,156,login_failure,mobservice2,mobservice2,WARNING,1625134479130,1625134490130,11.0,gaia-v3-20260913,True,train,
gaia-v3-00157,157,login_failure,mobservice2,mobservice2,WARNING,1625134644031,1625134655031,11.0,gaia-v3-20260913,True,train,
gaia-v3-00158,158,login_failure,mobservice2,mobservice2,WARNING,1625134753952,1625134764952,11.0,gaia-v3-20260913,True,train,
gaia-v3-00159,159,login_failure,mobservice2,mobservice2,WARNING,1625134967481,1625134978481,11.0,gaia-v3-20260913,True,train,
gaia-v3-00160,160,login_failure,mobservice2,mobservice2,WARNING,1625135002263,1625135013263,11.0,gaia-v3-20260913,True,train,
gaia-v3-00161,161,login_failure,mobservice2,mobservice2,WARNING,1625135057567,1625135068567,11.0,gaia-v3-20260913,True,train,
gaia-v3-00162,162,login_failure,mobservice2,mobservice2,WARNING,1625135152652,1625135163652,11.0,gaia-v3-20260913,True,train,
gaia-v3-00057,57,login_failure,mobservice1,mobservice1,WARNING,1625135859203,1625135870203,11.0,gaia-v3-20260913,True,train,
gaia-v3-00058,58,login_failure,mobservice1,mobservice1,WARNING,1625135893006,1625135904006,11.0,gaia-v3-20260913,True,train,
gaia-v3-00163,163,login_failure,mobservice2,mobservice2,WARNING,1625136188849,1625136199849,11.0,gaia-v3-20260913,True,train,
