case_id,source_index,fault_type,labelled_service,service,level,start_ms,end_ms,duration_seconds,taxonomy_version,detector_domain,split,purge_reason
gaia-v3-00005,5,memory_anomalies,webservice2,webservice2,WARNING,1625108812249,1625109412249,600.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00000,0,memory_anomalies,dbservice1,dbservice1,WARNING,1625111066883,1625111666883,600.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00001,1,normal_memory_freed,dbservice1,dbservice1,WARNING,1625113508804,1625114108804,600.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00003,3,memory_anomalies,dbservice2,dbservice2,WARNING,1625114695799,1625115295799,600.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00007,7,memory_anomalies,redisservice1,redisservice1,WARNING,1625116122447,1625116722447,600.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00004,4,memory_anomalies,dbservice2,dbservice2,WARNING,1625122822681,1625123422681,600.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00014,14,login_failure,mobservice1,mobservice1,WARNING,1625123023991,1625123034991,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00113,113,login_failure,mobservice2,mobservice2,WARNING,1625123305556,1625123316556,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00015,15,login_failure,mobservice1,mobservice1,WARNING,1625123497103,1625123508103,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00016,16,login_failure,mobservice1,mobservice1,WARNING,1625123711830,1625123722830,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00114,114,login_failure,mobservice2,mobservice2,WARNING,1625123771833,1625123782833,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00115,115,login_failure,mobservice2,mobservice2,WARNING,1625124065900,1625124076900,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00116,116,login_failure,mobservice2,mobservice2,WARNING,1625124096455,1625124107455,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00017,17,login_failure,mobservice1,mobservice1,WARNING,1625124146966,1625124157966,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00117,117,login_failure,mobservice2,mobservice2,WARNING,1625124241962,1625124252962,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00118,118,login_failure,mobservice2,mobservice2,WARNING,1625124358528,1625124369528,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00018,18,login_failure,mobservice1,mobservice1,WARNING,1625124426145,1625124437145,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00119,119,login_failure,mobservice2,mobservice2,WARNING,1625124602148,1625124613148,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00120,120,login_failure,mobservice2,mobservice2,WARNING,1625124662232,1625124673232,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00019,19,login_failure,mobservice1,mobservice1,WARNING,1625124766990,1625124777990,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00020,20,login_failure,mobservice1,mobservice1,WARNING,1625124942392,1625124953392,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00121,121,login_failure,mobservice2,mobservice2,WARNING,1625124988652,1625124999652,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00006,6,memory_anomalies,webservice2,webservice2,WARNING,1625125130212,1625125730212,600.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00122,122,login_failure,mobservice2,mobservice2,WARNING,1625125277307,1625125288307,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00021,21,login_failure,mobservice1,mobservice1,WARNING,1625125364586,1625125375586,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00022,22,login_failure,mobservice1,mobservice1,WARNING,1625125561313,1625125572313,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00010,10,memory_anomalies,redisservice2,redisservice2,WARNING,1625125635263,1625126235263,600.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00023,23,login_failure,mobservice1,mobservice1,WARNING,1625125701803,1625125712803,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00024,24,login_failure,mobservice1,mobservice1,WARNING,1625125941901,1625125952901,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00025,25,login_failure,mobservice1,mobservice1,WARNING,1625126048437,1625126059437,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00026,26,login_failure,mobservice1,mobservice1,WARNING,1625126412625,1625126423625,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00123,123,login_failure,mobservice2,mobservice2,WARNING,1625126487583,1625126498583,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00027,27,login_failure,mobservice1,mobservice1,WARNING,1625126531197,1625126542197,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00124,124,login_failure,mobservice2,mobservice2,WARNING,1625126531375,1625126542375,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00028,28,login_failure,mobservice1,mobservice1,WARNING,1625127168775,1625127179775,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00125,125,login_failure,mobservice2,mobservice2,WARNING,1625127664287,1625127675287,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00008,8,memory_anomalies,redisservice1,redisservice1,WARNING,1625127878444,1625128478444,600.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00029,29,login_failure,mobservice1,mobservice1,WARNING,1625128009857,1625128020857,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00030,30,login_failure,mobservice1,mobservice1,WARNING,1625128070550,1625128081550,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
gaia-v3-00031,31,login_failure,mobservice1,mobservice1,WARNING,1625128360001,1625128371001,11.0,gaia-v3-20260913,False,outside_detector_domain,outside_metric_detector_timeline
