case_id,track,prediction_id,t_hat,gt_start_ms,detection_delay_seconds,root_service,fault_type,ada_rca_top1,ada_rca_labelled_rank
gaia-v3-10780,classification,test-pred-000000,1626963480000,1626963467588,12.412,mobservice2,login_failure,redisservice1,2
gaia-v3-10781,classification,test-pred-000001,1626963690000,1626963655995,34.005,mobservice2,login_failure,mobservice1,2
gaia-v3-10782,classification,test-pred-000003,1626964320000,1626964301183,18.817,mobservice2,login_failure,mobservice2,1
gaia-v3-10783,classification,test-pred-000004,1626964770000,1626964747131,22.869,mobservice2,login_failure,mobservice1,2
gaia-v3-11092,classification,test-pred-000006,1626965010000,1626964995328,14.672,mobservice1,login_failure,mobservice1,1
gaia-v3-11094,classification,test-pred-000007,1626965130000,1626965115678,14.322,mobservice1,login_failure,mobservice1,1
gaia-v3-10785,classification,test-pred-000008,1626965190000,1626965160011,29.989,mobservice2,login_failure,mobservice2,1
gaia-v3-10786,classification,test-pred-000009,1626965280000,1626965245689,34.311,mobservice2,login_failure,mobservice2,1
gaia-v3-10787,classification,test-pred-000010,1626965430000,1626965407037,22.963,mobservice2,login_failure,mobservice2,1
gaia-v3-10788,classification,test-pred-000011,1626965970000,1626965932662,37.338,mobservice2,login_failure,mobservice2,1
gaia-v3-11097,classification,test-pred-000012,1626966270000,1626966234568,35.432,mobservice1,login_failure,mobservice1,1
gaia-v3-10789,classification,test-pred-000017,1626967170000,1626967135866,34.134,mobservice2,login_failure,mobservice1,2
gaia-v3-10790,classification,test-pred-000020,1626967590000,1626967574044,15.956,mobservice2,login_failure,mobservice2,1
gaia-v3-10791,classification,test-pred-000021,1626967710000,1626967683267,26.733,mobservice2,login_failure,mobservice1,2
gaia-v3-10792,classification,test-pred-000023,1626967890000,1626967853701,36.299,mobservice2,login_failure,mobservice1,2
gaia-v3-10793,classification,test-pred-000024,1626968310000,1626968270629,39.371,mobservice2,login_failure,mobservice1,2
gaia-v3-10795,classification,test-pred-000026,1626969090000,1626969071823,18.177,mobservice2,login_failure,mobservice1,2
gaia-v3-10796,classification,test-pred-000028,1626969450000,1626969435150,14.85,mobservice2,login_failure,mobservice2,1
gaia-v3-10797,classification,test-pred-000029,1626969540000,1626969505255,34.745,mobservice2,login_failure,mobservice1,4
gaia-v3-11449,classification,test-pred-000031,1626969780000,1626969749235,30.765,mobservice1,login_failure,mobservice2,2
